Year, Month, Canada full time,	Canada part time,	U.S. full time,	U.S. part time
2020, May,	     38.6, 22.2, 38.0, 21.0
2020, June,	     31.5, 15.0, 33.5, 19.4
2020, July,	     29.1, 13.2, 28.5, 15.6
2020, August,	   26.8, 11.5, 26.5, 12.6
2020, September, 26.3, 11.2, 24.8, 12.0
2020, October,	 26.8, 12.4, 23.2, 12.2
2020, November,	 28.1, 12.8, 23.8, 12.2
2020, December,	 29.7, 12.0, 25.9, 12.8
2021, January,   34.6, 16.1, 25.5, 12.0
2021, February,  32.5, 15.4, 24.8, 12.2
2021, March,     30.4, 14.5, 22.9, 11.3
2021, April,     32.1, 15.7, 20.0,  9.7
2021, May,       32.1, 14.8, 18.2,  8.4
2021, June,      29.3, 12.5, 16.0,  6.8
2021, July,      27.3, 10.4, 14.6,  6.1
2021, August,    25.1, 10.3, 14.8,  6.4
2021, September, 24.9, 10.2, 14.5,  6.8
2021, October,   24.6, 12.2, 12.9,  5.6
2021, November,  24.6, 10.0, 12.5,  5.2
2021, December,  24.8,  9.9, 12.4,  5.1
